,value
0,-0.64789006
1,-0.64199005
2,-0.63819005
3,-0.63826005
4,-0.63835005
5,-0.63870005
6,-0.64305006
7,-0.64377006
8,-0.64505006
9,-0.64712006
10,-0.64915007
11,-0.65125007
12,-0.65729008
13,-0.66220008
14,-0.66123008
15,-0.66099008
16,-0.66156008
17,-0.66226008
18,-0.66191008
19,-0.66274009
20,-0.66093008
21,-0.66345009
22,-0.66219008
23,-0.66234008
24,-0.66171008
25,-0.66139008
26,-0.66141008
27,-0.66145008
28,-0.66037008
29,-0.65911008
30,-0.65974008
31,-0.65818008
32,-0.65840008
33,-0.65735008
34,-0.65852008
35,-0.65849008
36,-0.65737008
37,-0.65436007
38,-0.65252007
39,-0.65132007
40,-0.64814006
41,-0.64733006
42,-0.64710006
43,-0.64486006
44,-0.64360006
