,value
0,-0.91270941
1,-0.90229723
2,-0.89114771
3,-0.87943594
4,-0.86729362
5,-0.85463519
6,-0.84101484
7,-0.82577089
8,-0.80767902
9,-0.78558131
10,-0.75739374
11,-0.72167429
12,-0.67679276
13,-0.6216971
14,-0.55970761
15,-0.4820209
16,-0.39429569
17,-0.2921163
18,-0.17954662
19,-0.05902138
20,0.06688756
21,0.19537412
22,0.32457269
23,0.4526004
24,0.57750015
25,0.70166002
26,0.81444102
27,0.91892607
28,1.00973927
29,1.08850691
30,1.15602937
31,1.21346913
32,1.26174832
33,1.30098245
34,1.33147246
35,1.35385585
36,1.36861732
37,1.3775864
38,1.38314736
39,1.38604027
40,1.38787185
41,1.38908927
42,1.38997513
43,1.39012616
44,1.39009555
